career,field,recommended_major,related_majors,soc_code,bls_occupation,early_career_salary,median_salary,experienced_salary,average_salary,education,description,skills,companies,industries,colleges_notable,nyc_colleges,college_notes,source_year,benchmark_area,salary_area,data_type,salary_mapping_note,salary_source,source_url,job_outlook,career_level_note
Strategy Analyst,Business,Business,Business;Economics;Business Analytics;Finance,13-2051,Financial and Investment Analysts,60830,99010,129970,112950,Bachelor's degree,"Researches markets, competitors, and internal capabilities to support strategic recommendations for leadership.",Market Research;Financial Analysis;Slide Communication;Structured Problem Solving;Excel,strategy consultancies;corporate strategy teams;PE operating groups,Consulting;Corporate Strategy;Finance;Technology,NYU Stern;University of Pennsylvania;University of Chicago;MIT Sloan;Columbia Business School,NYU Stern;Columbia University;CUNY Baruch;Fordham University,Examples of notable programs to explore; not an official ranking. Verify current degree offerings and admissions details on each university's official website.,2023,United States,"New York-Newark-Jersey City, NY-NJ-PA",Mapped BLS benchmark,Closest BLS occupation is Financial and Investment Analysts (13-2051) used as a verified analytical wage benchmark for strategy analysis roles.,"U.S. Bureau of Labor Statistics OEWS, May 2023",https://www.bls.gov/oes/2023/may/oes132051.htm,Leaders facing growth or turnaround decisions need strategy analysts who can synthesize evidence quickly.,"Salary benchmarks are occupational wage percentiles, not guaranteed pay by years of experience."
Management Consulting Analyst,Business,Business,Business;Business Analytics;Economics;Operations Management,15-2031,Operations Research Analysts,66250,83640,115190,114910,Bachelor's degree,"Supports client engagements by gathering data, building analyses, and presenting recommendations on business problems.",Structured Problem Solving;Excel;Research;Communication;Client Service,McKinsey;Bain;BCG;Big Four consulting,Consulting;Corporate Strategy;Operations;Technology,NYU Stern;University of Pennsylvania;University of Chicago;MIT Sloan;Columbia Business School,NYU Stern;Columbia University;CUNY Baruch;Fordham University,Examples of notable programs to explore; not an official ranking. Verify current degree offerings and admissions details on each university's official website.,2023,United States,"New York-Newark-Jersey City, NY-NJ-PA",Mapped BLS benchmark,Closest BLS occupation is Operations Research Analysts (15-2031) used as a verified analytical wage benchmark for consulting analysis roles.,"U.S. Bureau of Labor Statistics OEWS, May 2023",https://www.bls.gov/oes/2023/may/oes152031.htm,"Consulting firms hire analysts to staff client projects that require rapid, evidence-based problem solving.","Salary benchmarks are occupational wage percentiles, not guaranteed pay by years of experience."
Product Operations Analyst,Business,Business,Business;Business Analytics;Information Systems;Entrepreneurship,15-1211,Computer Systems Analysts,63230,103800,132580,110800,Bachelor's degree,"Improves the processes, tooling, and metrics that help product teams ship and support digital products.",Process Improvement;Product Metrics;SQL Basics;Stakeholder Management;Documentation,tech companies;SaaS firms;fintech product teams,Technology;SaaS;FinTech;Consumer Tech,NYU Stern;University of Pennsylvania;University of Chicago;MIT Sloan;Columbia Business School,NYU Stern;Columbia University;CUNY Baruch;Fordham University,Examples of notable programs to explore; not an official ranking. Verify current degree offerings and admissions details on each university's official website.,2023,United States,"New York-Newark-Jersey City, NY-NJ-PA",Mapped BLS benchmark,Closest BLS occupation is Computer Systems Analysts (15-1211).,"U.S. Bureau of Labor Statistics OEWS, May 2023",https://www.bls.gov/oes/2023/may/oes151211.htm,Product organizations need operations analysts to keep delivery processes measurable and scalable.,"Salary benchmarks are occupational wage percentiles, not guaranteed pay by years of experience."
Economist,Economics,Economics,Economics;Quantitative Economics;Statistics;Public Policy,19-3011,Economists,62520,115730,166070,132650,Master's degree,"Researches production, distribution, and consumption of goods and services to advise policy or business strategy.",Economic Theory;Econometrics;Data Analysis;Writing;Policy Literacy,government agencies;think tanks;consultancies;central banks,Government;Research;Consulting;Finance,NYU Stern;University of Pennsylvania;University of Chicago;MIT Sloan;Columbia Business School,NYU Stern;Columbia University;CUNY Baruch;Fordham University,Examples of notable programs to explore; not an official ranking. Verify current degree offerings and admissions details on each university's official website.,2023,United States,"New York-Newark-Jersey City, NY-NJ-PA",Exact BLS occupation,,"U.S. Bureau of Labor Statistics OEWS, May 2023",https://www.bls.gov/oes/2023/may/oes193011.htm,Public and private institutions hire economists to interpret markets and evaluate policy options.,"Salary benchmarks are occupational wage percentiles, not guaranteed pay by years of experience."
Labor Economist,Economics,Economics,Economics;Quantitative Economics;Statistics;Public Health,19-3011,Economists,62520,115730,166070,132650,Master's degree,"Studies wages, employment, and workforce trends to inform labor policy, education, or corporate workforce planning.",Labor Economics;Econometrics;Survey Data;Policy Analysis;Writing,labor departments;research institutes;unions research arms;think tanks,Government;Research;Nonprofit;Education Policy,NYU Stern;University of Pennsylvania;University of Chicago;MIT Sloan;Columbia Business School,NYU Stern;Columbia University;CUNY Baruch;Fordham University,Examples of notable programs to explore; not an official ranking. Verify current degree offerings and admissions details on each university's official website.,2023,United States,"New York-Newark-Jersey City, NY-NJ-PA",Mapped BLS benchmark,Closest BLS occupation is Economists (19-3011).,"U.S. Bureau of Labor Statistics OEWS, May 2023",https://www.bls.gov/oes/2023/may/oes193011.htm,Workforce and wage debates keep demand for labor economists who can analyze employment data carefully.,"Salary benchmarks are occupational wage percentiles, not guaranteed pay by years of experience."
Industrial Organization Analyst,Economics,Economics,Economics;Quantitative Economics;Business;Finance,19-3011,Economists,62520,115730,166070,132650,Master's degree,"Analyzes competition, pricing, and market structure to support antitrust, strategy, or regulatory questions.",Industrial Organization;Econometrics;Market Analysis;Writing;Data Analysis,economic consultancies;antitrust practices;regulatory agencies;corporate strategy,Consulting;Government;Law-Adjacent Economics;Corporate Strategy,NYU Stern;University of Pennsylvania;University of Chicago;MIT Sloan;Columbia Business School,NYU Stern;Columbia University;CUNY Baruch;Fordham University,Examples of notable programs to explore; not an official ranking. Verify current degree offerings and admissions details on each university's official website.,2023,United States,"New York-Newark-Jersey City, NY-NJ-PA",Mapped BLS benchmark,Closest BLS occupation is Economists (19-3011).,"U.S. Bureau of Labor Statistics OEWS, May 2023",https://www.bls.gov/oes/2023/may/oes193011.htm,Competition cases and market strategy work need analysts trained in industrial organization economics.,"Salary benchmarks are occupational wage percentiles, not guaranteed pay by years of experience."
Development Economics Research Assistant,Economics,Economics,Economics;Quantitative Economics;Public Health;Statistics,19-3011,Economists,62520,115730,166070,132650,Bachelor's degree,"Supports field and secondary-data studies on poverty, education, health, and economic development outcomes.",Research Support;Data Cleaning;Literature Review;Stata/R Basics;Field Coordination Support,university development labs;NGOs;international research projects,Nonprofit;Academic Research;International Development;Government,NYU Stern;University of Pennsylvania;University of Chicago;MIT Sloan;Columbia Business School,NYU Stern;Columbia University;CUNY Baruch;Fordham University,Examples of notable programs to explore; not an official ranking. Verify current degree offerings and admissions details on each university's official website.,2023,United States,"New York-Newark-Jersey City, NY-NJ-PA",Mapped BLS benchmark,Closest BLS occupation is Economists (19-3011) used as a verified economics wage benchmark for research-assistance pathways.,"U.S. Bureau of Labor Statistics OEWS, May 2023",https://www.bls.gov/oes/2023/may/oes193011.htm,Development research programs need assistants who can carefully manage data and field study logistics.,"Salary benchmarks are occupational wage percentiles, not guaranteed pay by years of experience."
Accountant,Business,Accounting,Accounting;Finance;Business;Business Analytics,13-2011,Accountants and Auditors,50440,79880,103990,90780,Bachelor's degree,"Prepares and examines financial records to ensure accuracy, compliance, and useful reporting for decision-makers.",Financial Accounting;Excel;Auditing Basics;Attention to Detail;Regulatory Literacy,accounting firms;corporations;nonprofits;government finance offices,Accounting;Corporate Finance;Government;Nonprofit,NYU Stern;University of Pennsylvania;University of Chicago;MIT Sloan;Columbia Business School,NYU Stern;Columbia University;CUNY Baruch;Fordham University,Examples of notable programs to explore; not an official ranking. Verify current degree offerings and admissions details on each university's official website.,2023,United States,"New York-Newark-Jersey City, NY-NJ-PA",Exact BLS occupation,,"U.S. Bureau of Labor Statistics OEWS, May 2023",https://www.bls.gov/oes/2023/may/oes132011.htm,Every organization that reports finances needs accountants to keep records accurate and compliant.,"Salary benchmarks are occupational wage percentiles, not guaranteed pay by years of experience."
Auditor,Business,Accounting,Accounting;Finance;Business;Information Systems,13-2011,Accountants and Auditors,50440,79880,103990,90780,Bachelor's degree,Tests financial statements and controls to provide independent assurance about reported financial information.,Auditing;Internal Controls;Excel;Professional Skepticism;Documentation,Big Four firms;regional CPA firms;internal audit departments,Accounting;Consulting;Corporate Governance;Finance,NYU Stern;University of Pennsylvania;University of Chicago;MIT Sloan;Columbia Business School,NYU Stern;Columbia University;CUNY Baruch;Fordham University,Examples of notable programs to explore; not an official ranking. Verify current degree offerings and admissions details on each university's official website.,2023,United States,"New York-Newark-Jersey City, NY-NJ-PA",Mapped BLS benchmark,Closest BLS occupation is Accountants and Auditors (13-2011).,"U.S. Bureau of Labor Statistics OEWS, May 2023",https://www.bls.gov/oes/2023/may/oes132011.htm,Investors and boards rely on auditors to provide independent assurance over financial reporting.,"Salary benchmarks are occupational wage percentiles, not guaranteed pay by years of experience."
Forensic Accountant,Business,Accounting,Accounting;Finance;Cybersecurity;Business Analytics,13-2011,Accountants and Auditors,50440,79880,103990,90780,Bachelor's degree,"Investigates financial records to detect fraud, reconstruct transactions, and support dispute or compliance cases.",Forensic Accounting;Data Analysis;Investigation;Financial Statements;Report Writing,forensic practices;law firms support teams;corporate investigations units;government offices,Accounting;Legal Support;Government;Corporate Compliance,NYU Stern;University of Pennsylvania;University of Chicago;MIT Sloan;Columbia Business School,NYU Stern;Columbia University;CUNY Baruch;Fordham University,Examples of notable programs to explore; not an official ranking. Verify current degree offerings and admissions details on each university's official website.,2023,United States,"New York-Newark-Jersey City, NY-NJ-PA",Mapped BLS benchmark,Closest BLS occupation is Accountants and Auditors (13-2011).,"U.S. Bureau of Labor Statistics OEWS, May 2023",https://www.bls.gov/oes/2023/may/oes132011.htm,Fraud and financial disputes create demand for accountants who can reconstruct what really happened in the books.,"Salary benchmarks are occupational wage percentiles, not guaranteed pay by years of experience."
Managerial Accountant,Business,Accounting,Accounting;Business Analytics;Operations Management;Finance,13-2011,Accountants and Auditors,50440,79880,103990,90780,Bachelor's degree,"Provides cost analysis, budgeting support, and internal performance reports that help managers run the business.",Cost Accounting;Budgeting;Excel;Variance Analysis;Business Partnership,manufacturers;hospitals;retailers;corporate finance teams,Manufacturing;Healthcare;Retail;Corporate Finance,NYU Stern;University of Pennsylvania;University of Chicago;MIT Sloan;Columbia Business School,NYU Stern;Columbia University;CUNY Baruch;Fordham University,Examples of notable programs to explore; not an official ranking. Verify current degree offerings and admissions details on each university's official website.,2023,United States,"New York-Newark-Jersey City, NY-NJ-PA",Mapped BLS benchmark,Closest BLS occupation is Accountants and Auditors (13-2011).,"U.S. Bureau of Labor Statistics OEWS, May 2023",https://www.bls.gov/oes/2023/may/oes132011.htm,Managers need managerial accountants to understand product costs and budget performance in real time.,"Salary benchmarks are occupational wage percentiles, not guaranteed pay by years of experience."
Startup Operations Associate,Business,Entrepreneurship,Entrepreneurship;Business;Operations Management;Business Analytics,15-2031,Operations Research Analysts,66250,83640,115190,114910,Bachelor's degree,"Builds early operating systems for staffing, metrics, vendors, and processes inside young companies.",Operations;Prioritization;Excel;Vendor Coordination;Problem Solving,startups;venture studios;accelerator portfolio companies,Startups;Technology;Consumer Products;Services,NYU Stern;University of Pennsylvania;University of Chicago;MIT Sloan;Columbia Business School,NYU Stern;Columbia University;CUNY Baruch;Fordham University,Examples of notable programs to explore; not an official ranking. Verify current degree offerings and admissions details on each university's official website.,2023,United States,"New York-Newark-Jersey City, NY-NJ-PA",Mapped BLS benchmark,Closest BLS occupation is Operations Research Analysts (15-2031) used as a verified operations-analytics wage benchmark.,"U.S. Bureau of Labor Statistics OEWS, May 2023",https://www.bls.gov/oes/2023/may/oes152031.htm,Early-stage companies need operations associates who can create order while the business is still changing quickly.,"Salary benchmarks are occupational wage percentiles, not guaranteed pay by years of experience."
Venture Analyst,Business,Entrepreneurship,Entrepreneurship;Finance;Business;Economics,13-2051,Financial and Investment Analysts,60830,99010,129970,112950,Bachelor's degree,"Researches markets and startups to support investment theses, diligence, and portfolio tracking in venture settings.",Market Research;Financial Analysis;Writing;Networking;Excel,venture capital firms;corporate venture arms;angel groups,Venture Capital;Finance;Technology;Innovation,NYU Stern;University of Pennsylvania;University of Chicago;MIT Sloan;Columbia Business School,NYU Stern;Columbia University;CUNY Baruch;Fordham University,Examples of notable programs to explore; not an official ranking. Verify current degree offerings and admissions details on each university's official website.,2023,United States,"New York-Newark-Jersey City, NY-NJ-PA",Mapped BLS benchmark,Closest BLS occupation is Financial and Investment Analysts (13-2051).,"U.S. Bureau of Labor Statistics OEWS, May 2023",https://www.bls.gov/oes/2023/may/oes132051.htm,Investors funding new companies hire venture analysts to diligence markets and founding teams.,"Salary benchmarks are occupational wage percentiles, not guaranteed pay by years of experience."
Innovation Program Analyst,Business,Entrepreneurship,Entrepreneurship;Business;Industrial Engineering;Business Analytics,15-1211,Computer Systems Analysts,63230,103800,132580,110800,Bachelor's degree,"Supports corporate or civic innovation programs by tracking pilots, metrics, and learning across experiments.",Program Analysis;Metrics;Stakeholder Coordination;Research;Documentation,corporate innovation labs;civic tech programs;incubators,Corporate Innovation;Government Innovation;Technology;Nonprofit,NYU Stern;University of Pennsylvania;University of Chicago;MIT Sloan;Columbia Business School,NYU Stern;Columbia University;CUNY Baruch;Fordham University,Examples of notable programs to explore; not an official ranking. Verify current degree offerings and admissions details on each university's official website.,2023,United States,"New York-Newark-Jersey City, NY-NJ-PA",Mapped BLS benchmark,Closest BLS occupation is Computer Systems Analysts (15-1211).,"U.S. Bureau of Labor Statistics OEWS, May 2023",https://www.bls.gov/oes/2023/may/oes151211.htm,Innovation programs need analysts who can measure what pilots learn rather than only celebrating launches.,"Salary benchmarks are occupational wage percentiles, not guaranteed pay by years of experience."
Founder-in-Residence Analyst,Business,Entrepreneurship,Entrepreneurship;Business;Product Design;Business Analytics,15-2031,Operations Research Analysts,66250,83640,115190,114910,Bachelor's degree,"Helps evaluate new venture concepts through customer research, lightweight prototypes, and business-model analysis.",Customer Discovery;Lean Experimentation;Market Sizing;Prototyping Basics;Communication,venture studios;startup studios;accelerator programs,Venture Building;Technology;Consumer Products;Services,NYU Stern;University of Pennsylvania;University of Chicago;MIT Sloan;Columbia Business School,NYU Stern;Columbia University;CUNY Baruch;Fordham University,Examples of notable programs to explore; not an official ranking. Verify current degree offerings and admissions details on each university's official website.,2023,United States,"New York-Newark-Jersey City, NY-NJ-PA",Mapped BLS benchmark,Closest BLS occupation is Operations Research Analysts (15-2031).,"U.S. Bureau of Labor Statistics OEWS, May 2023",https://www.bls.gov/oes/2023/may/oes152031.htm,Venture studios hire analysts to pressure-test ideas before committing major founding resources.,"Salary benchmarks are occupational wage percentiles, not guaranteed pay by years of experience."
Supply Chain Analyst,Business,Supply Chain Management,Supply Chain Management;Operations Management;Industrial Engineering;Business Analytics,15-2031,Operations Research Analysts,66250,83640,115190,114910,Bachelor's degree,"Analyzes inventory, lead times, and logistics data to keep products available while controlling cost.",Inventory Analytics;Excel/SQL;Demand Planning Basics;Process Mapping;Communication,Amazon;retailers;manufacturers;3PL providers,Retail;Manufacturing;Logistics;E-commerce,NYU Stern;University of Pennsylvania;University of Chicago;MIT Sloan;Columbia Business School,NYU Stern;Columbia University;CUNY Baruch;Fordham University,Examples of notable programs to explore; not an official ranking. Verify current degree offerings and admissions details on each university's official website.,2023,United States,"New York-Newark-Jersey City, NY-NJ-PA",Mapped BLS benchmark,Closest BLS occupation is Operations Research Analysts (15-2031).,"U.S. Bureau of Labor Statistics OEWS, May 2023",https://www.bls.gov/oes/2023/may/oes152031.htm,"Global supply networks need analysts who can diagnose shortages, delays, and excess inventory.","Salary benchmarks are occupational wage percentiles, not guaranteed pay by years of experience."
Logistics Analyst,Business,Supply Chain Management,Supply Chain Management;Operations Research;Industrial Engineering;Business Analytics,15-2031,Operations Research Analysts,66250,83640,115190,114910,Bachelor's degree,"Optimizes transportation modes, routes, and warehouse flows to move goods efficiently.",Logistics;Network Analysis;Excel;Data Visualization;Vendor Coordination,UPS;FedEx;retail logistics teams;freight brokerages,Transportation;Retail;Manufacturing;E-commerce,NYU Stern;University of Pennsylvania;University of Chicago;MIT Sloan;Columbia Business School,NYU Stern;Columbia University;CUNY Baruch;Fordham University,Examples of notable programs to explore; not an official ranking. Verify current degree offerings and admissions details on each university's official website.,2023,United States,"New York-Newark-Jersey City, NY-NJ-PA",Mapped BLS benchmark,Closest BLS occupation is Operations Research Analysts (15-2031).,"U.S. Bureau of Labor Statistics OEWS, May 2023",https://www.bls.gov/oes/2023/may/oes152031.htm,Shippers and carriers hire logistics analysts to reduce delivery cost and improve service reliability.,"Salary benchmarks are occupational wage percentiles, not guaranteed pay by years of experience."
Demand Planner,Business,Supply Chain Management,Supply Chain Management;Business Analytics;Statistics;Operations Management,15-2031,Operations Research Analysts,66250,83640,115190,114910,Bachelor's degree,Forecasts product demand and collaborates with sourcing and production teams to align supply with expected sales.,Forecasting;Statistics Basics;Excel;Cross-functional Communication;Inventory Thinking,CPG companies;retailers;manufacturers;pharma supply teams,Consumer Goods;Retail;Manufacturing;Pharmaceuticals,NYU Stern;University of Pennsylvania;University of Chicago;MIT Sloan;Columbia Business School,NYU Stern;Columbia University;CUNY Baruch;Fordham University,Examples of notable programs to explore; not an official ranking. Verify current degree offerings and admissions details on each university's official website.,2023,United States,"New York-Newark-Jersey City, NY-NJ-PA",Mapped BLS benchmark,Closest BLS occupation is Operations Research Analysts (15-2031).,"U.S. Bureau of Labor Statistics OEWS, May 2023",https://www.bls.gov/oes/2023/may/oes152031.htm,Companies with seasonal or volatile demand need planners who can anticipate what customers will order.,"Salary benchmarks are occupational wage percentiles, not guaranteed pay by years of experience."
Procurement Analyst,Business,Supply Chain Management,Supply Chain Management;Business;Accounting;Operations Management,15-2031,Operations Research Analysts,66250,83640,115190,114910,Bachelor's degree,"Analyzes supplier spend, contracts, and performance to improve purchasing decisions and reduce risk.",Spend Analysis;Negotiation Support;Excel;Supplier Scorecards;Compliance Awareness,corporations;hospitals;government purchasing offices;manufacturers,Corporate Procurement;Healthcare;Government;Manufacturing,NYU Stern;University of Pennsylvania;University of Chicago;MIT Sloan;Columbia Business School,NYU Stern;Columbia University;CUNY Baruch;Fordham University,Examples of notable programs to explore; not an official ranking. Verify current degree offerings and admissions details on each university's official website.,2023,United States,"New York-Newark-Jersey City, NY-NJ-PA",Mapped BLS benchmark,Closest BLS occupation is Operations Research Analysts (15-2031).,"U.S. Bureau of Labor Statistics OEWS, May 2023",https://www.bls.gov/oes/2023/may/oes152031.htm,Organizations managing large supplier bases hire procurement analysts to spend smarter and reduce vendor risk.,"Salary benchmarks are occupational wage percentiles, not guaranteed pay by years of experience."
Operations Manager Track Analyst,Business,Operations Management,Operations Management;Industrial Engineering;Business Analytics;Supply Chain Management,15-2031,Operations Research Analysts,66250,83640,115190,114910,Bachelor's degree,"Tracks service levels, throughput, and staffing metrics to help operations leaders run day-to-day performance.",Operations Metrics;Excel;Process Improvement;Shift Coordination Support;Communication,hospitals;warehouses;airlines;shared service centers,Healthcare;Logistics;Transportation;Business Services,NYU Stern;University of Pennsylvania;University of Chicago;MIT Sloan;Columbia Business School,NYU Stern;Columbia University;CUNY Baruch;Fordham University,Examples of notable programs to explore; not an official ranking. Verify current degree offerings and admissions details on each university's official website.,2023,United States,"New York-Newark-Jersey City, NY-NJ-PA",Mapped BLS benchmark,Closest BLS occupation is Operations Research Analysts (15-2031).,"U.S. Bureau of Labor Statistics OEWS, May 2023",https://www.bls.gov/oes/2023/may/oes152031.htm,High-volume operations need analysts who can spot performance problems before customers feel them.,"Salary benchmarks are occupational wage percentiles, not guaranteed pay by years of experience."
Service Operations Analyst,Business,Operations Management,Operations Management;Business Analytics;Industrial Engineering;Information Systems,15-2031,Operations Research Analysts,66250,83640,115190,114910,Bachelor's degree,"Improves queues, response times, and staffing models in service environments such as call centers or clinics.",Queue Analysis;Workforce Planning Basics;Data Analysis;Process Mapping;Customer Metrics,hospitals;banks;telecoms;shared services organizations,Healthcare;Finance;Telecommunications;Business Services,NYU Stern;University of Pennsylvania;University of Chicago;MIT Sloan;Columbia Business School,NYU Stern;Columbia University;CUNY Baruch;Fordham University,Examples of notable programs to explore; not an official ranking. Verify current degree offerings and admissions details on each university's official website.,2023,United States,"New York-Newark-Jersey City, NY-NJ-PA",Mapped BLS benchmark,Closest BLS occupation is Operations Research Analysts (15-2031).,"U.S. Bureau of Labor Statistics OEWS, May 2023",https://www.bls.gov/oes/2023/may/oes152031.htm,Service businesses hire operations analysts to reduce wait times without overstaffing.,"Salary benchmarks are occupational wage percentiles, not guaranteed pay by years of experience."
Continuous Improvement Analyst,Business,Operations Management,Operations Management;Industrial Engineering;Business;Systems Engineering,17-2112,Industrial Engineers,79730,99380,124000,108120,Bachelor's degree,Facilitates lean improvement projects that remove waste and standardize better ways of working.,Lean Methods;Root Cause Analysis;Facilitation;Data Tracking;Change Management,manufacturers;hospitals;logistics firms;government operations teams,Manufacturing;Healthcare;Logistics;Government,MIT;Georgia Tech;University of Michigan;Purdue University;Carnegie Mellon University,Columbia University;The Cooper Union;NYU Tandon;CCNY,Examples of notable programs to explore; not an official ranking. Verify current degree offerings and admissions details on each university's official website.,2023,United States,"New York-Newark-Jersey City, NY-NJ-PA",Mapped BLS benchmark,Closest BLS occupation is Industrial Engineers (17-2112).,"U.S. Bureau of Labor Statistics OEWS, May 2023",https://www.bls.gov/oes/2023/may/oes172112.htm,Organizations pursuing operational excellence need analysts who can run structured improvement projects.,"Salary benchmarks are occupational wage percentiles, not guaranteed pay by years of experience."
Capacity Planning Analyst,Business,Operations Management,Operations Management;Industrial Engineering;Supply Chain Management;Business Analytics,15-2031,Operations Research Analysts,66250,83640,115190,114910,Bachelor's degree,"Forecasts facility, machine, or workforce capacity needs so operations can meet future demand without bottlenecks.",Capacity Planning;Forecasting;Excel Modeling;Operations Metrics;Scenario Analysis,manufacturers;cloud operations teams;hospitals;airlines,Manufacturing;Technology;Healthcare;Transportation,NYU Stern;University of Pennsylvania;University of Chicago;MIT Sloan;Columbia Business School,NYU Stern;Columbia University;CUNY Baruch;Fordham University,Examples of notable programs to explore; not an official ranking. Verify current degree offerings and admissions details on each university's official website.,2023,United States,"New York-Newark-Jersey City, NY-NJ-PA",Mapped BLS benchmark,Closest BLS occupation is Operations Research Analysts (15-2031).,"U.S. Bureau of Labor Statistics OEWS, May 2023",https://www.bls.gov/oes/2023/may/oes152031.htm,"Growing systems hire capacity planners to avoid costly shortages of space, machines, or people.","Salary benchmarks are occupational wage percentiles, not guaranteed pay by years of experience."
Architect,Architecture,Architecture,Architecture;Architectural Engineering;Urban Planning;Industrial Design,17-1011,"Architects, Except Landscape and Naval",58870,93310,116780,100400,Master's degree,"Designs buildings and spaces that balance aesthetics, function, safety, and client requirements.",Architectural Design;CAD/BIM;Building Codes;Visualization;Client Communication,architecture firms;civic design studios;real estate developers' design partners,Architecture;Real Estate;Civic Design;Construction,MIT;Cornell University;UC Berkeley;Harvard GSD;University of Pennsylvania,Columbia University;The Cooper Union;Pratt Institute;NYIT,Examples of notable programs to explore; not an official ranking. Verify current degree offerings and admissions details on each university's official website.,2023,United States,"New York-Newark-Jersey City, NY-NJ-PA",Exact BLS occupation,,"U.S. Bureau of Labor Statistics OEWS, May 2023",https://www.bls.gov/oes/2023/may/oes171011.htm,Communities and developers continue to need architects to shape buildings people can use and enjoy.,"Salary benchmarks are occupational wage percentiles, not guaranteed pay by years of experience."
Architectural Designer,Architecture,Architecture,Architecture;Industrial Design;Architectural Engineering;Urban Planning,17-1011,"Architects, Except Landscape and Naval",58870,93310,116780,100400,Bachelor's degree,"Develops design concepts, drawings, and models that explore building form, space, and material options.",Design Drawing;3D Modeling;Concept Development;Visualization;Collaboration,architecture studios;design firms;adaptive reuse practices,Architecture;Interior Architecture;Civic Design;Real Estate,MIT;Cornell University;UC Berkeley;Harvard GSD;University of Pennsylvania,Columbia University;The Cooper Union;Pratt Institute;NYIT,Examples of notable programs to explore; not an official ranking. Verify current degree offerings and admissions details on each university's official website.,2023,United States,"New York-Newark-Jersey City, NY-NJ-PA",Mapped BLS benchmark,"Closest BLS occupation is Architects, Except Landscape and Naval (17-1011).","U.S. Bureau of Labor Statistics OEWS, May 2023",https://www.bls.gov/oes/2023/may/oes171011.htm,Design firms hire architectural designers to iterate concepts before detailed technical documentation begins.,"Salary benchmarks are occupational wage percentiles, not guaranteed pay by years of experience."
Building Information Modeling Specialist,Architecture,Architecture,Architecture;Architectural Engineering;Construction Management;Construction Engineering,17-1011,"Architects, Except Landscape and Naval",58870,93310,116780,100400,Bachelor's degree,"Creates and manages BIM models that coordinate architectural, structural, and systems information for projects.",BIM;Revit;Coordination;Documentation;Clash Awareness,architecture firms;construction managers;engineering design firms,Architecture;Construction;Engineering Services;Real Estate,MIT;Cornell University;UC Berkeley;Harvard GSD;University of Pennsylvania,Columbia University;The Cooper Union;Pratt Institute;NYIT,Examples of notable programs to explore; not an official ranking. Verify current degree offerings and admissions details on each university's official website.,2023,United States,"New York-Newark-Jersey City, NY-NJ-PA",Mapped BLS benchmark,"Closest BLS occupation is Architects, Except Landscape and Naval (17-1011) used as a verified architecture wage benchmark for BIM-focused roles.","U.S. Bureau of Labor Statistics OEWS, May 2023",https://www.bls.gov/oes/2023/may/oes171011.htm,Complex building projects need BIM specialists to keep digital models accurate across disciplines.,"Salary benchmarks are occupational wage percentiles, not guaranteed pay by years of experience."
Adaptive Reuse Designer,Architecture,Architecture,Architecture;Urban Planning;Sustainability;Architectural Engineering,17-1011,"Architects, Except Landscape and Naval",58870,93310,116780,100400,Master's degree,"Redesigns existing buildings for new uses while respecting structure, history, and modern performance needs.",Adaptive Reuse;Historic Sensitivity;Building Assessment;Design;Sustainability Basics,architecture firms;preservation-focused studios;city redevelopment partners,Architecture;Historic Preservation;Real Estate;Civic Design,MIT;Cornell University;UC Berkeley;Harvard GSD;University of Pennsylvania,Columbia University;The Cooper Union;Pratt Institute;NYIT,Examples of notable programs to explore; not an official ranking. Verify current degree offerings and admissions details on each university's official website.,2023,United States,"New York-Newark-Jersey City, NY-NJ-PA",Mapped BLS benchmark,"Closest BLS occupation is Architects, Except Landscape and Naval (17-1011).","U.S. Bureau of Labor Statistics OEWS, May 2023",https://www.bls.gov/oes/2023/may/oes171011.htm,Cities seeking to reuse existing buildings hire designers who specialize in adaptation rather than demolition.,"Salary benchmarks are occupational wage percentiles, not guaranteed pay by years of experience."
Architectural Engineer,Engineering,Architectural Engineering,Architectural Engineering;Architecture;Civil Engineering;Mechanical Engineering,17-2051,Civil Engineers,76500,95890,123010,117890,Bachelor's degree,Designs building structural and systems solutions that make architectural concepts constructible and safe.,Building Systems;Structural Basics;MEP Coordination;CAD/BIM;Building Codes,AE firms;Arup;Thornton Tomasetti;building engineering consultancies,Architecture;Engineering Services;Construction;Real Estate,MIT;Georgia Tech;University of Michigan;Purdue University;Carnegie Mellon University,Columbia University;The Cooper Union;NYU Tandon;CCNY,Examples of notable programs to explore; not an official ranking. Verify current degree offerings and admissions details on each university's official website.,2023,United States,"New York-Newark-Jersey City, NY-NJ-PA",Mapped BLS benchmark,Closest BLS occupation is Civil Engineers (17-2051); architectural engineering roles are commonly benchmarked here.,"U.S. Bureau of Labor Statistics OEWS, May 2023",https://www.bls.gov/oes/2023/may/oes172051.htm,Building projects need architectural engineers to integrate structure and systems with design intent.,"Salary benchmarks are occupational wage percentiles, not guaranteed pay by years of experience."
